setting,split,group,target_index,n_trials
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|14,14,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|15,15,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|16,16,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|20,20,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|21,21,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|22,22,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|23,23,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|24,24,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|25,25,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|26,26,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|27,27,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|28,28,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|29,29,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|31,31,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|32,32,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|33,33,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|34,34,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|35,35,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|36,36,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|37,37,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|39,39,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|40,40,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|41,41,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|43,43,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|44,44,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|45,45,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|46,46,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|47,47,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|48,48,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|49,49,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|50,50,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|51,51,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|53,53,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|54,54,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|55,55,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|56,56,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|57,57,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|58,58,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|59,59,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|60,60,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|62,62,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|63,63,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|64,64,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|65,65,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|68,68,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|69,69,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|70,70,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|71,71,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|73,73,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|74,74,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|75,75,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|77,77,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|78,78,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|79,79,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|80,80,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|81,81,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|82,82,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|83,83,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|84,84,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|86,86,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|87,87,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|88,88,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|90,90,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|91,91,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|92,92,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|93,93,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|95,95,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|98,98,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|99,99,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|100,100,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|101,101,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|102,102,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|103,103,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|105,105,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|106,106,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|107,107,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|108,108,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|109,109,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|110,110,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|111,111,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|112,112,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|113,113,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|114,114,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|115,115,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|116,116,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|117,117,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|118,118,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|119,119,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|124,124,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|125,125,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|126,126,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|127,127,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|128,128,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|129,129,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|130,130,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|132,132,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|134,134,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|135,135,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|137,137,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|138,138,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|139,139,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|141,141,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|144,144,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|145,145,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|146,146,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|147,147,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|148,148,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|149,149,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|150,150,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|152,152,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|153,153,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|154,154,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|157,157,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|158,158,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|159,159,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|1,1,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|3,3,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|4,4,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|5,5,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|6,6,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|7,7,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|8,8,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|9,9,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|10,10,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|12,12,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|13,13,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|14,14,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|15,15,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|16,16,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|20,20,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|21,21,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|22,22,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|23,23,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|24,24,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|25,25,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|26,26,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|27,27,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|28,28,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|29,29,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|31,31,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|32,32,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|33,33,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|34,34,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|35,35,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|36,36,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|37,37,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|39,39,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|40,40,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|41,41,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|43,43,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|44,44,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|45,45,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|46,46,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|47,47,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|48,48,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|49,49,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|50,50,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|51,51,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|53,53,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|54,54,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|55,55,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|56,56,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|57,57,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|58,58,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|59,59,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|60,60,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|62,62,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|63,63,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|64,64,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|65,65,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|68,68,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|69,69,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|70,70,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|71,71,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|73,73,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|74,74,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|75,75,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|77,77,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|78,78,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|79,79,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|80,80,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|81,81,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|82,82,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|83,83,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|84,84,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|86,86,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|87,87,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|88,88,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|90,90,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|91,91,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|92,92,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|93,93,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|95,95,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|97,97,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|98,98,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|99,99,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|100,100,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|101,101,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|102,102,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|103,103,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|105,105,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|106,106,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|107,107,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|108,108,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|109,109,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|110,110,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|111,111,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|112,112,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|113,113,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|114,114,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|115,115,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|116,116,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|117,117,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|118,118,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|119,119,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|121,121,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|124,124,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|125,125,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|126,126,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|127,127,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|128,128,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|129,129,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|130,130,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|132,132,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|134,134,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|135,135,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|137,137,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|138,138,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|139,139,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|141,141,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|144,144,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|145,145,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|146,146,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|147,147,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|148,148,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|149,149,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|150,150,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|152,152,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|153,153,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|154,154,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|157,157,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|158,158,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P05|159,159,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|1,1,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|3,3,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|4,4,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|5,5,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|6,6,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|7,7,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|8,8,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|9,9,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|10,10,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|12,12,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|13,13,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|14,14,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|15,15,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|16,16,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|20,20,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|21,21,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|22,22,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|23,23,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|24,24,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|25,25,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|26,26,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|27,27,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|28,28,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|29,29,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|31,31,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|32,32,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|33,33,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|34,34,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|35,35,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|36,36,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|37,37,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|39,39,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|40,40,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|41,41,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|43,43,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|44,44,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|45,45,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|46,46,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|47,47,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|48,48,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|49,49,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|50,50,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P06|51,51,2
