subject_folder	mapping_participant	mapping_file	trial_index	block	trial_in_block	trigger	category	mapped_path	exact_image_path	image_found	is_repeat	expected_presentations_for_trigger	eeg_sample	eeg_time_ms	timing_source	timing_status	csv_available	csv_order_match	epoch_valid	artifact_peak_uv	artifact_status	epoch_index	target_index	split	lab_subject_id	artifact_status_npz	epoch_valid_npz	usable_for_finetune
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	14	1	14	1104	speaker	images_THINGS/object_images/speaker/speaker_19n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/speaker/speaker_19n.jpg	True	False	2	512445	1780477516551.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	25.380703	pass	13	103	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	15	1	15	1134	sleeping_bag	images_THINGS/object_images/sleeping_bag/sleeping_bag_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sleeping_bag/sleeping_bag_07s.jpg	True	False	2	515507	1780477522675.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	74.736214	pass	14	133	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	16	1	16	1147	lemonade	images_THINGS/object_images/lemonade/lemonade_01b.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/lemonade/lemonade_01b.jpg	True	False	2	518420	1780477528501.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	57.212852	pass	15	146	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	17	1	17	1121	sunglasses	images_THINGS/object_images/sunglasses/sunglasses_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sunglasses/sunglasses_06s.jpg	True	False	2	521482	1780477534626.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	241.533798	pass	16	120	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	18	1	18	1035	lizard	images_THINGS/object_images/lizard/lizard_01b.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/lizard/lizard_01b.jpg	True	False	1	524496	1780477540654.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	133.611252	pass	17	34	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	19	1	19	1052	wallpaper	images_THINGS/object_images/wallpaper/wallpaper_01b.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/wallpaper/wallpaper_01b.jpg	True	False	2	527402	1780477546467.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	36.113758	pass	18	51	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	20	1	20	1132	polar_bear	images_THINGS/object_images/polar_bear/polar_bear_18s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/polar_bear/polar_bear_18s.jpg	True	False	2	530385	1780477552433.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	19.294693	pass	19	131	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	21	2	1	1071	mongoose	images_THINGS/object_images/mongoose/mongoose_10s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/mongoose/mongoose_10s.jpg	True	True	2	534402	1780477560467.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	61.277447	pass	20	70	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	22	2	2	1150	chick	images_THINGS/object_images/chick/chick_10s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/chick/chick_10s.jpg	True	False	2	545082	1780477581828.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	25.925009	pass	21	149	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	23	2	3	1134	sleeping_bag	images_THINGS/object_images/sleeping_bag/sleeping_bag_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sleeping_bag/sleeping_bag_07s.jpg	True	True	2	547924	1780477587513.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	41.059998	pass	22	133	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	24	2	4	1053	reindeer	images_THINGS/object_images/reindeer/reindeer_14s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/reindeer/reindeer_14s.jpg	True	False	2	551134	1780477593933.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	42.931583	pass	23	52	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	25	2	5	1060	squirrel	images_THINGS/object_images/squirrel/squirrel_12n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/squirrel/squirrel_12n.jpg	True	False	2	554241	1780477600147.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	23.044584	pass	24	59	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	26	2	6	1001	limousine	images_THINGS/object_images/limousine/limousine_03s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/limousine/limousine_03s.jpg	True	True	2	557166	1780477605998.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	254.358582	review	25	0	val	1	review	True	False
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	27	2	7	1115	marshmallow	images_THINGS/object_images/marshmallow/marshmallow_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/marshmallow/marshmallow_09s.jpg	True	False	1	560314	1780477612294.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	28.134253	pass	26	114	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	28	2	8	1159	pear	images_THINGS/object_images/pear/pear_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/pear/pear_09s.jpg	True	True	2	563156	1780477617978.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	230.483414	pass	27	158	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	29	2	9	1012	burrito	images_THINGS/object_images/burrito/burrito_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/burrito/burrito_07s.jpg	True	False	2	566390	1780477624447.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	37.350552	pass	28	11	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	30	2	10	1036	ladybug	images_THINGS/object_images/ladybug/ladybug_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/ladybug/ladybug_07s.jpg	True	False	1	569438	1780477630543.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	22.648626	pass	29	35	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	31	2	11	1045	goose	images_THINGS/object_images/goose/goose_08s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/goose/goose_08s.jpg	True	False	2	572386	1780477636439.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	24.207508	pass	30	44	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	32	2	12	1095	mouse2	images_THINGS/object_images/mouse2/mouse2_17s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/mouse2/mouse2_17s.jpg	True	False	1	575303	1780477642274.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	35.653408	pass	31	94	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	33	2	13	1144	tarantula	images_THINGS/object_images/tarantula/tarantula_12s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/tarantula/tarantula_12s.jpg	True	False	2	578247	1780477648162.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	267.274506	review	32	143	val	1	review	True	False
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	34	2	14	1057	eggnog	images_THINGS/object_images/eggnog/eggnog_03s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/eggnog/eggnog_03s.jpg	True	False	1	581118	1780477653904.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	25.476442	pass	33	56	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	35	2	15	1112	hard_disk	images_THINGS/object_images/hard_disk/hard_disk_13s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/hard_disk/hard_disk_13s.jpg	True	False	1	584181	1780477660031.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	46.331223	pass	34	111	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	36	2	16	1108	possum	images_THINGS/object_images/possum/possum_03s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/possum/possum_03s.jpg	True	False	1	587278	1780477666225.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	38.685902	pass	35	107	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	37	2	17	1160	clam	images_THINGS/object_images/clam/clam_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/clam/clam_06s.jpg	True	True	2	590168	1780477672005.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	32.372719	pass	36	159	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	38	2	18	1031	fish	images_THINGS/object_images/fish/fish_01b.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/fish/fish_01b.jpg	True	False	1	593270	1780477678210.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	38.218174	pass	37	30	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	39	2	19	1016	ant	images_THINGS/object_images/ant/ant_08s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/ant/ant_08s.jpg	True	False	1	596239	1780477684148.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	35.720528	pass	38	15	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	40	2	20	1118	candy_bar	images_THINGS/object_images/candy_bar/candy_bar_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/candy_bar/candy_bar_09s.jpg	True	False	2	599208	1780477690086.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	240.436172	pass	39	117	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	41	3	1	1050	artichoke	images_THINGS/object_images/artichoke/artichoke_08n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/artichoke/artichoke_08n.jpg	True	False	1	610273	1780477712218.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	40.968117	pass	40	49	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	42	3	2	1157	barnacle	images_THINGS/object_images/barnacle/barnacle_11s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/barnacle/barnacle_11s.jpg	True	False	2	613221	1780477718114.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	37.042313	pass	41	156	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	43	3	3	1098	stool	images_THINGS/object_images/stool/stool_08s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/stool/stool_08s.jpg	True	False	1	616238	1780477724148.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	438.279327	review	42	97	train	1	review	True	False
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	44	3	4	1073	bull	images_THINGS/object_images/bull/bull_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/bull/bull_09s.jpg	True	False	1	619221	1780477730115.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	112.312614	pass	43	72	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	45	3	5	1020	television	images_THINGS/object_images/television/television_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/television/television_07s.jpg	True	True	2	621920	1780477735513.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	22.088614	pass	44	19	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	46	3	6	1151	tractor	images_THINGS/object_images/tractor/tractor_10n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/tractor/tractor_10n.jpg	True	False	1	625217	1780477742107.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	64.161621	pass	45	150	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	47	3	7	1119	star_fruit	images_THINGS/object_images/star_fruit/star_fruit_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/star_fruit/star_fruit_06s.jpg	True	False	1	628279	1780477748232.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	52.400723	pass	46	118	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	48	3	8	1011	raspberry	images_THINGS/object_images/raspberry/raspberry_11s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/raspberry/raspberry_11s.jpg	True	False	1	631373	1780477754420.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	37.151077	pass	47	10	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	49	3	9	1137	lamb	images_THINGS/object_images/lamb/lamb_12s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/lamb/lamb_12s.jpg	True	False	1	634456	1780477760586.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	38.389168	pass	48	136	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	50	3	10	1104	speaker	images_THINGS/object_images/speaker/speaker_19n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/speaker/speaker_19n.jpg	True	True	2	637172	1780477766019.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	286.070831	review	49	103	train	1	review	True	False
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	51	3	11	1110	jet	images_THINGS/object_images/jet/jet_04s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/jet/jet_04s.jpg	True	False	2	640393	1780477772461.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	19.041265	pass	50	109	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	52	3	12	1144	tarantula	images_THINGS/object_images/tarantula/tarantula_12s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/tarantula/tarantula_12s.jpg	True	True	2	643214	1780477778103.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	32.610332	pass	51	143	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	53	3	13	1006	cardinal	images_THINGS/object_images/cardinal/cardinal_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/cardinal/cardinal_02s.jpg	True	True	2	645900	1780477783476.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	28.093611	pass	52	5	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	54	3	14	1097	sandwich	images_THINGS/object_images/sandwich/sandwich_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sandwich/sandwich_06s.jpg	True	False	1	649132	1780477789940.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	10.945733	pass	53	96	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	55	3	15	1090	garlic	images_THINGS/object_images/garlic/garlic_11s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/garlic/garlic_11s.jpg	True	False	1	652090	1780477795857.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	17.650703	pass	54	89	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	56	3	16	1101	boat	images_THINGS/object_images/boat/boat_08s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/boat/boat_08s.jpg	True	False	1	655163	1780477802003.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	35.934822	pass	55	100	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	57	3	17	1132	polar_bear	images_THINGS/object_images/polar_bear/polar_bear_18s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/polar_bear/polar_bear_18s.jpg	True	True	2	657934	1780477807545.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	16.311138	pass	56	131	val	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	58	3	18	1047	drawer	images_THINGS/object_images/drawer/drawer_04s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/drawer/drawer_04s.jpg	True	False	1	661108	1780477813893.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	31.829285	pass	57	46	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	59	3	19	1026	asparagus	images_THINGS/object_images/asparagus/asparagus_12s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/asparagus/asparagus_12s.jpg	True	False	1	664000	1780477819677.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	26.452091	pass	58	25	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	60	3	20	1046	tiramisu	images_THINGS/object_images/tiramisu/tiramisu_12s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/tiramisu/tiramisu_12s.jpg	True	False	2	667022	1780477825721.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	34.736485	pass	59	45	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	61	4	1	1110	jet	images_THINGS/object_images/jet/jet_04s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/jet/jet_04s.jpg	True	True	2	671004	1780477833685.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	38.902737	pass	60	109	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	62	4	2	1149	mole	images_THINGS/object_images/mole/mole_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/mole/mole_09s.jpg	True	False	1	680944	1780477853565.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	42.775246	pass	61	148	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	63	4	3	1023	wolf	images_THINGS/object_images/wolf/wolf_12n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/wolf/wolf_12n.jpg	True	False	2	684049	1780477859775.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	26.640083	pass	62	22	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	64	4	4	1125	sundae	images_THINGS/object_images/sundae/sundae_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sundae/sundae_09s.jpg	True	False	2	686927	1780477865532.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	71.981346	pass	63	124	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	65	4	5	1037	steamroller	images_THINGS/object_images/steamroller/steamroller_11n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/steamroller/steamroller_11n.jpg	True	False	1	689840	1780477871358.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	30.281815	pass	64	36	train	1	pass	True	True
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	66	4	6	1120	owl	images_THINGS/object_images/owl/owl_19s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/owl/owl_19s.jpg	True	False	2	692909	1780477877496.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	41.996021	pass	65	119	train	1	pass	True	True
